"id","code","name","account_type","reconcile"
"account_template_101010955","1.01.01.09.55","(-) Perdas por Redução ao Valor Recuperável (Impairment)- Valores Mobiliários - No Exterior","asset_current",""
"account_template_101010970","1.01.01.09.70","Subconta - Ajuste a Valor Justo - Não Hedge - No Exterior","asset_current",""
"account_template_101010990","1.01.01.09.90","Subconta – Adoção Inicial - Valores Mobiliários – Não Hedge - No Exterior","asset_current",""
"account_template_101011001","1.01.01.10.01","Derivativos - Hedge Valor Justo - No Exterior","asset_current",""
"account_template_101011002","1.01.01.10.02","Derivativos - Hedge Fluxo de Caixa - No Exterior","asset_current",""
"account_template_101011003","1.01.01.10.03","Derivativos - Hedge Investimento no Exterior - No Exterior","asset_current",""
"account_template_101011070","1.01.01.10.70","Subconta - Ajuste a Valor Justo - Valores Mobiliários – Hedge - No Exterior","asset_current",""
"account_template_101011090","1.01.01.10.90","Subconta – Adoção Inicial - Valores Mobiliários – Hedge - No Exterior","asset_current",""
"account_template_101014001","1.01.01.40.01","Recursos no Exterior Decorrentes de Exportação","asset_current",""
"account_template_101019901","1.01.01.99.01","Outras Disponibilidades","asset_current",""
"account_template_101020101","1.01.02.01.01","Adiantamentos a Fornecedores - no País – Circulante","asset_current",""
"account_template_101020102","1.01.02.01.02","Adiantamentos a Fornecedores - no Exterior – Circulante","asset_current",""
"account_template_101020103","1.01.02.01.03","Adiantamentos a Funcionários – Circulante","asset_current",""
"account_template_101020104","1.01.02.01.04","Adiantamentos a Terceiros – Circulante","asset_current",""
"account_template_101020198","1.01.02.01.98","Outros Adiantamentos – Circulante","asset_current",""
"account_template_101020201","1.01.02.02.01","Duplicatas a Receber – Operações com Partes Não Relacionadas - no País","asset_current",""
"account_template_101020202","1.01.02.02.02","Duplicatas a Receber - Operações com Partes Não Relacionadas - no Exterior","asset_current",""
"account_template_101020203","1.01.02.02.03","Duplicatas a Receber - Operações com Partes Relacionadas - no País","asset_current",""
"account_template_101020204","1.01.02.02.04","Duplicatas a Receber - Operações com Partes Relacionadas - no Exterior","asset_current",""
"account_template_101020250","1.01.02.02.50","(-) Juros a Apropriar Decorrentes de Ajuste da Valor Presente (AVP) – Duplicatas a Receber","asset_current",""
"account_template_101020252","1.01.02.02.52","(-) Perdas Estimadas em Créditos de Liquidação Duvidosa - Duplicatas a Receber","asset_current",""
"account_template_101020255","1.01.02.02.55","(-) Perdas por Redução ao Valor Recuperável (Impairment) - Duplicatas a Receber","asset_current",""
"account_template_101020290","1.01.02.02.90","Subconta – Adoção Inicial - Duplicatas a Receber","asset_current",""
"account_template_101020301","1.01.02.03.01","IPI a Recuperar","asset_current",""
"account_template_101020302","1.01.02.03.02","ICMS a Recuperar","asset_current",""
"account_template_101020303","1.01.02.03.03","PIS a Recuperar - Crédito Básico","asset_current",""
"account_template_101020304","1.01.02.03.04","PIS a Recuperar - Crédito Presumido","asset_current",""
"account_template_101020305","1.01.02.03.05","COFINS a Recuperar - Crédito Básico","asset_current",""
"account_template_101020306","1.01.02.03.06","COFINS a Recuperar - Crédito Presumido","asset_current",""
"account_template_101020307","1.01.02.03.07","CIDE a Recuperar","asset_current",""
"account_template_101020340","1.01.02.03.40","Outros Impostos e Contribuições a Recuperar","asset_current",""
"account_template_101020350","1.01.02.03.50","(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) - Tributos a Recuperar","asset_current",""
"account_template_101020355","1.01.02.03.55","(-) Perdas por Redução ao Valor Recuperável (Impairment) - Tributos a Recuperar","asset_current",""
"account_template_101020401","1.01.02.04.01","Imposto de Renda Retido na Fonte (IRRF)","asset_current",""
"account_template_101020402","1.01.02.04.02","IRPJ Recolhido por Estimativa","asset_current",""
"account_template_101020403","1.01.02.04.03","IRPJ Saldo Negativo","asset_current",""
"account_template_101020404","1.01.02.04.04","CSLL Retida na Fonte","asset_current",""
"account_template_101020405","1.01.02.04.05","CSLL Recolhida por Estimativa","asset_current",""
"account_template_101020406","1.01.02.04.06","CSLL Saldo Negativo","asset_current",""
"account_template_101020407","1.01.02.04.07","PIS/PASEP Retido na Fonte","asset_current",""
"account_template_101020408","1.01.02.04.08","PIS/PASEP a Compensar","asset_current",""
"account_template_101020409","1.01.02.04.09","COFINS Retida na Fonte","asset_current",""
"account_template_101020410","1.01.02.04.10","COFINS a Compensar","asset_current",""
"account_template_101020411","1.01.02.04.11","IPI a Compensar","asset_current",""
"account_template_101020412","1.01.02.04.12","IOF a Compensar","asset_current",""
"account_template_101020413","1.01.02.04.13","Imposto de Importação a Compensar","asset_current",""
"account_template_101020414","1.01.02.04.14","Imposto de Exportação a Compensar","asset_current",""
"account_template_101020415","1.01.02.04.15","ITR a Compensar","asset_current",""
"account_template_101020416","1.01.02.04.16","CIDE a Compensar","asset_current",""
"account_template_101020417","1.01.02.04.17","Contribuição Previdenciária Retida na Prestação de Serviços","asset_current",""
"account_template_101020418","1.01.02.04.18","Contribuição Previdenciária a Compensar","asset_current",""
"account_template_101020440","1.01.02.04.40","Outros Tributos a Compensar","asset_current",""
"account_template_101020450","1.01.02.04.50","( - ) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) - Tributos a Compensar","asset_current",""
"account_template_101020455","1.01.02.04.55","( - ) Perdas por Redução ao Valor Recuperável (Impairment)- Tributos a Compensar","asset_current",""
"account_template_101020901","1.01.02.09.01","Mútuos com Partes Não Relacionadas – Circulante - No País","asset_current",""
"account_template_101020902","1.01.02.09.02","Mútuos com Partes Não Relacionadas – Circulante - No Exterior","asset_current",""
"account_template_101020903","1.01.02.09.03","Dividendos a Receber - Circulante - No País","asset_current",""
"account_template_101020904","1.01.02.09.04","Dividendos a Receber - Circulante - No Exterior","asset_current",""
"account_template_101020905","1.01.02.09.05","Juros Sobre o Capital Próprio a Receber - Circulante","asset_current",""
"account_template_101020906","1.01.02.09.06","Adiantamento para Futuro Aumento de Capital –Ativo - Circulante","asset_current",""
"account_template_101020907","1.01.02.09.07","Outros Juros a Receber - Circulante","asset_current",""
"account_template_101020909","1.01.02.09.09","Contraprestação Contingente Ativa - Combinação de Negócios - Circulante","asset_current",""
"account_template_101020910","1.01.02.09.10","Demais Créditos a Receber - Circulante","asset_current",""
"account_template_101020911","1.01.02.09.11","Depósitos em Contencioso - Circulante","asset_current",""
"account_template_101020912","1.01.02.09.12","Outros Créditos em Contencioso - Circulante","asset_current",""
"account_template_101020920","1.01.02.09.20","Direitos Creditórios Cedidos","asset_current",""
"account_template_101020921","1.01.02.09.21","(-) Deságio na Cessão de Títulos","asset_current",""
"account_template_101020925","1.01.02.09.25","Direitos Creditórios a Receber","asset_current",""
"account_template_101020950","1.01.02.09.50","(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) – Outros Créditos - Circulante","asset_current",""
"account_template_101020955","1.01.02.09.55","(-) Perdas por Redução ao Valor Recuperável (Impairment) - Outros Créditos - Circulante","asset_current",""
"account_template_101020960","1.01.02.09.60","CPC 47 - Atvos de Contrato - Circulante","asset_current",""
"account_template_101020970","1.01.02.09.70","Subconta - Ajuste a Valor Justo – Outros Créditos - Circulante","asset_current",""
"account_template_101030101","1.01.03.01.01","Mercadorias para Revenda","asset_current",""
"account_template_101030155","1.01.03.01.55","(-) Perda por Ajuste ao Valor Realizável Líquido - Estoque Mercadorias","asset_current",""
"account_template_101030170","1.01.03.01.70","Subconta - Ajuste a Valor Justo - Estoque Mercadorias","asset_current",""
"account_template_101030175","1.01.03.01.75","( - ) Subconta – Ajuste a Valor Presente (AVP) - Estoque Mercadorias","asset_current",""
"account_template_101030190","1.01.03.01.90","Subconta – Adoção Inicial - Estoques de Mercadorias","asset_current",""
"account_template_101030201","1.01.03.02.01","Insumos (materiais diretos)","asset_current",""
"account_template_101030202","1.01.03.02.02","Outros Materiais","asset_current",""
"account_template_101030203","1.01.03.02.03","Produtos em Elaboração","asset_current",""
"account_template_101030204","1.01.03.02.04","Produtos Acabados","asset_current",""
"account_template_101030255","1.01.03.02.55","(-) Perda por Ajuste ao Valor Realizável Líquido - Estoque Produtos","asset_current",""
"account_template_101030270","1.01.03.02.70","Subconta - Ajuste a Valor Justo - Estoque de Produtos","asset_current",""
"account_template_101030275","1.01.03.02.75","( - ) Subconta – Ajuste a Valor Presente (AVP) - Estoque de Produtos","asset_current",""
"account_template_101030290","1.01.03.02.90","Subconta – Adoção Inicial - Estoques de Produtos","asset_current",""
"account_template_101030301","1.01.03.03.01","Terrenos - Atividade Imobiliária","asset_current",""
"account_template_101030302","1.01.03.03.02","Imóveis Adquiridos para Revenda - Atividade Imobiliária","asset_current",""
"account_template_101030303","1.01.03.03.03","Obras em Andamento - Atividade Imobiliária","asset_current",""
"account_template_101030304","1.01.03.03.04","Imóveis à Venda - Atividade Imobiliária","asset_current",""
"account_template_101030305","1.01.03.03.05","Construções em Andamento de Imóveis Destinados à Venda","asset_current",""
"account_template_101030306","1.01.03.03.06","Materiais de Construção - Atividade Imobiliária","asset_current",""
"account_template_101030355","1.01.03.03.55","(-) Perda por Ajuste ao Valor Realizável Líquido - Estoque Atividade Imobiliária","asset_current",""
"account_template_101030375","1.01.03.03.75","( - ) Subconta – Ajuste a Valor Presente (AVP) - Estoque Atividade Imobiliária","asset_current",""
"account_template_101030390","1.01.03.03.90","Subconta – Adoção Inicial - Estoques – Atividade Imobiliária","asset_current",""
"account_template_101030401","1.01.03.04.01","Insumos (materiais diretos) - Estoque Longa Maturação","asset_current",""
"account_template_101030402","1.01.03.04.02","Outros Materiais - Estoque Longa Maturação","asset_current",""
"account_template_101030403","1.01.03.04.03","Produtos em Elaboração - Estoque Longa Maturação","asset_current",""
"account_template_101030404","1.01.03.04.04","Produtos Acabados - Estoque Longa Maturação","asset_current",""
"account_template_101030455","1.01.03.04.55","(-) Perda por Ajuste ao Valor Realizável Líquido - Estoque Longa Maturação","asset_current",""
"account_template_101030470","1.01.03.04.70","Subconta - Ajuste a Valor Justo - Estoque Longa Maturação","asset_current",""
"account_template_101030475","1.01.03.04.75","( - ) Subconta – Ajuste a Valor Presente (AVP) - Estoque Longa Maturação","asset_current",""
"account_template_101030490","1.01.03.04.90","Subconta – Adoção Inicial - Estoques – Longa Maturação","asset_current",""
"account_template_101030501","1.01.03.05.01","Produtos Agropecuários de Origem Animal","asset_current",""
"account_template_101030502","1.01.03.05.02","Produtos Agropecuários de Origem Vegetal","asset_current",""
"account_template_101030503","1.01.03.05.03","Insumos Agropecuários","asset_current",""
"account_template_101030504","1.01.03.05.04","Outros Materiais - Atividade Rural","asset_current",""
"account_template_101030555","1.01.03.05.55","(-) Perda por Ajuste ao Valor Realizável Líquido - Estoque Atividade Rural","asset_current",""
"account_template_101030570","1.01.03.05.70","Subconta - Ajuste a Valor Justo - Estoque Atividade Rural","asset_current",""
"account_template_101030575","1.01.03.05.75","( - ) Subconta – Ajuste a Valor Presente (AVP) - Estoque Atividade Rural","asset_current",""
"account_template_101030590","1.01.03.05.90","Subconta – Adoção Inicial - Estoques – Atividade Rural","asset_current",""
"account_template_101030601","1.01.03.06.01","Materiais Aplicados na Produção de Serviços","asset_current",""
"account_template_101030602","1.01.03.06.02","Serviços em Andamento","asset_current",""
"account_template_101030603","1.01.03.06.03","Serviços Acabados","asset_current",""
"account_template_101030655","1.01.03.06.55","(-) Perda por Ajuste ao Valor Realizável Líquido - Estoque Serviços","asset_current",""
"account_template_101030670","1.01.03.06.70","Subconta - Ajuste a Valor Justo - Estoque Serviços","asset_current",""
"account_template_101030675","1.01.03.06.75","( - ) Subconta – Ajuste a Valor Presente (AVP) - Estoque Serviços","asset_current",""
"account_template_101030690","1.01.03.06.90","Subconta – Adoção Inicial - Estoque Serviços","asset_current",""
"account_template_101030701","1.01.03.07.01","Material em Almoxarifado","asset_current",""
"account_template_101030702","1.01.03.07.02","Material Destinado à Destruição","asset_current",""
"account_template_101030703","1.01.03.07.03","Sucata","asset_current",""
"account_template_101030704","1.01.03.07.04","Outros Estoques","asset_current",""
"account_template_101030755","1.01.03.07.55","(-) Perda por Ajuste ao Valor Realizável Líquido - Estoques Outros","asset_current",""
"account_template_101030775","1.01.03.07.75","( - ) Subconta – Ajuste a Valor Presente (AVP) - Estoque Outros","asset_current",""
"account_template_101030790","1.01.03.07.90","Subconta – Adoção Inicial - Estoque Outros","asset_current",""
"account_template_101050101","1.01.05.01.01","Alugueis Pagos Antecipadamente","asset_prepayments",""
"account_template_101050102","1.01.05.01.02","Prêmios de Seguros a Apropriar","asset_prepayments",""
"account_template_101050103","1.01.05.01.03","Encargos Financeiros a Apropriar","asset_prepayments",""
"account_template_101050109","1.01.05.01.09","Outros Custos e Despesas Pagos Antecipadamente","asset_prepayments",""
"account_template_101100101","1.01.10.01.01","Ativo Biológico Consumível - Origem Animal – Pelo Valor Justo","asset_current",""
"account_template_101100102","1.01.10.01.02","Ativo Biológico Consumível - Origem Vegetal – Pelo Valor Justo","asset_current",""
"account_template_101100170","1.01.10.01.70","Subconta - Ajuste a Valor Justo (AVJ) – Ativos Biológicos Consumíveis Pelo Valor Justo - Circulante","asset_current",""
"account_template_101100175","1.01.10.01.75","( - ) Subconta – Ajuste a Valor Presente (AVP) - Ativos Biológicos Pelo Valor Justo - Circulante","asset_current",""
"account_template_101100190","1.01.10.01.90","Subconta – Adoção Inicial - Ativo Biologico","asset_current",""
"account_template_101100201","1.01.10.02.01","Ativo Biológico Consumível - Origem Animal - Pelo Custo","asset_current",""
"account_template_101100202","1.01.10.02.02","Ativo Biológico Consumível - Origem Vegetal - Pelo Custo","asset_current",""
"account_template_101100255","1.01.10.02.55","( - ) Perdas por Redução ao Valor Recuperável (Impairment) - Ativos Biológicos Consumível - Pelo Custo","asset_current",""
"account_template_101100275","1.01.10.02.75","( - ) Subconta – Ajuste a Valor Presente (AVP) - Ativos Biológicos Consumíveis - Pelo Custo","asset_current",""
"account_template_101110101","1.01.11.01.01","Ativo Não Circulante Mantido Para Venda","asset_current",""
"account_template_101110155","1.01.11.01.55","(-) Perdas por Redução ao Valor Recuperável (Impairment) - Ativo Não Circulante Mantido para Venda","asset_current",""
"account_template_101110170","1.01.11.01.70","Subconta - Ajuste a Valor Justo – Ativo Não Circulante Mantido para Venda","asset_current",""
"account_template_101110175","1.01.11.01.75","( - ) Subconta – Ajuste a Valor Presente (AVP) - Ativo Não Circulante Mantido para Venda","asset_current",""
"account_template_101110190","1.01.11.01.90","Subconta – Adoção Inicial - Ativo Não circulante Mantido para Venda","asset_current",""
"account_template_102010101","1.02.01.01.01","Clientes - Longo Prazo","asset_non_current",""
"account_template_102010102","1.02.01.01.02","Mútuos com Partes Não Relacionadas - Ativo- Longo Prazo","asset_non_current",""
"account_template_102010103","1.02.01.01.03","Mútuos com Partes Relacionadas - Ativo - Longo Prazo","asset_non_current",""
"account_template_102010104","1.02.01.01.04","Adiantamento para Futuro Aumento de Capital - Ativo - Longo Prazo","asset_non_current",""
"account_template_102010107","1.02.01.01.07","Títulos Patrimoniais Avaliados pelo Custo - Longo Prazo","asset_non_current",""
"account_template_102010109","1.02.01.01.09","Contraprestação Contingente Ativa - Combinação de Negócios – Longo Prazo","asset_non_current",""
"account_template_102010110","1.02.01.01.10","Outros Valores Mobiliários - No Exterior - Longo Prazo","asset_non_current",""
"account_template_102010119","1.02.01.01.19","(-) Outras Contas Retificadoras – Créditos e Valores - Longo Prazo","asset_non_current",""
"account_template_102010120","1.02.01.01.20","Direitos Creditórios Cedidos –Longo Prazo","asset_non_current",""
"account_template_102010121","1.02.01.01.21","(-) Deságio na Cessão de Títulos–Longo Prazo","asset_non_current",""
"account_template_102010125","1.02.01.01.25","Direitos Creditórios a Receber–Longo Prazo","asset_non_current",""
"account_template_102010126","1.02.01.01.26","Duplicatas a Receber – Operações com Partes Não Relacionadas - no País – Longo Prazo","asset_non_current",""
"account_template_102010127","1.02.01.01.27","Duplicatas a Receber - Operações com Partes Não Relacionadas - no Exterior – Longo Prazo","asset_non_current",""
"account_template_102010128","1.02.01.01.28","Duplicatas a Receber - Operações com Partes Relacionadas - no País – Longo Prazo","asset_non_current",""
"account_template_102010129","1.02.01.01.29","Duplicatas a Receber - Operações com Partes Relacionadas - no Exterior – Longo Prazo","asset_non_current",""
"account_template_102010150","1.02.01.01.50","(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) - Créditos –Longo Prazo","asset_non_current",""
"account_template_102010152","1.02.01.01.52","(-) Perdas Estimadas em Créditos de Liquidação Duvidosa – Longo Prazo","asset_non_current",""
"account_template_102010155","1.02.01.01.55","(-) Perdas por Redução ao Valor Recuperável (Impairment) - Créditos e Valores - Longo Prazo","asset_non_current",""
"account_template_102010170","1.02.01.01.70","Subconta - Ajuste a Valor Justo - Créditos –Longo Prazo","asset_non_current",""
"account_template_102010190","1.02.01.01.90","Subconta – Adoção Inicial - Créditos e Valores – Longo Prazo","asset_non_current",""
"account_template_102010201","1.02.01.02.01","Títulos para Negociação - No País - Longo Prazo","asset_non_current",""
"account_template_102010202","1.02.01.02.02","Títulos Disponíveis para Venda - No País - Longo Prazo","asset_non_current",""
"account_template_102010203","1.02.01.02.03","Títulos Mantidos até o Vencimento - No País - Longo Prazo","asset_non_current",""
"account_template_102010210","1.02.01.02.10","Debêntures emitidas por Partes Relacionada - No País - Longo Prazo","asset_non_current",""
"account_template_102010211","1.02.01.02.11","Debêntures emitidas por Partes Não Relacionada - No País - Longo Prazo","asset_non_current",""
"account_template_102010214","1.02.01.02.14","Outros Valores Mobiliários – No País - Longo Prazo","asset_non_current",""
"account_template_102010215","1.02.01.02.15","Outros Empréstimos e Recebíveis – No País - Longo Prazo","asset_non_current",""
"account_template_102010216","1.02.01.02.16","Outros Juros a Receber – No País - Longo Prazo","asset_non_current",""
"account_template_102010250","1.02.01.02.50","(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) Valores Mobiliários – No País - Longo Prazo","asset_non_current",""
"account_template_102010255","1.02.01.02.55","(-) Perdas por Redução ao Valor Recuperável (Impairment) - Valores Mobiliários - No País - Longo Prazo","asset_non_current",""
"account_template_102010270","1.02.01.02.70","Subconta - Ajuste a Valor Justo – Valores Mobiliários – No País - Longo Prazo","asset_non_current",""
"account_template_102010290","1.02.01.02.90","Subconta – Adoção Inicial - Valores Mobiliários - No País – Longo Prazo","asset_non_current",""
"account_template_102010301","1.02.01.03.01","Títulos para Negociação - No Exterior - Longo Prazo","asset_non_current",""
"account_template_102010302","1.02.01.03.02","Títulos Disponíveis para Venda - No Exterior - Longo Prazo","asset_non_current",""
"account_template_102010303","1.02.01.03.03","Títulos Mantidos até o Vencimento - No Exterior - Longo Prazo","asset_non_current",""
"account_template_102010304","1.02.01.03.04","Debêntures emitidas por Partes Relacionada – No Exterior - Longo Prazo","asset_non_current",""
"account_template_102010305","1.02.01.03.05","Debêntures emitidas por Partes Não Relacionada - No Exterior - Longo Prazo","asset_non_current",""
"account_template_102010306","1.02.01.03.06","Outros Empréstimos e Recebíveis – No Exterior - Longo Prazo","asset_non_current",""
"account_template_102010350","1.02.01.03.50","(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) Valores Mobiliários – No Exterior - Longo Prazo","asset_non_current",""
"account_template_102010355","1.02.01.03.55","(-) Perdas por Redução ao Valor Recuperável (Impairment) - Valores Mobiliário - No Exterior - Longo Prazo","asset_non_current",""
"account_template_102010370","1.02.01.03.70","Subconta - Ajuste a Valor Justo – Valores Mobiliários – No Exterior - Longo Prazo","asset_non_current",""
"account_template_102010390","1.02.01.03.90","Subconta – Adoção Inicial - Valores Mobiliários - No Exterior – Longo Prazo","asset_non_current",""
"account_template_102010501","1.02.01.05.01","Créditos Fiscais CSLL - Diferenças Temporárias e Base de Cálculo Negativa - Longo Prazo","asset_non_current",""
"account_template_102010502","1.02.01.05.02","Créditos Fiscais IRPJ - Diferenças Temporárias e Prejuízos Fiscais - Longo Prazo","asset_non_current",""
"account_template_102010701","1.02.01.07.01","Depósitos em Contencioso - Longo Prazo","asset_non_current",""
"account_template_102010710","1.02.01.07.10","Outros Créditos em Contencioso - Longo Prazo","asset_non_current",""
"account_template_102010755","1.02.01.07.55","( - ) Perdas por Redução ao Valor Recuperável (Impairment) - Créditos em Contencioso – Longo Prazo","asset_non_current",""
"account_template_102010801","1.02.01.08.01","IPI a Recuperar - Longo Prazo","asset_non_current",""
"account_template_102010802","1.02.01.08.02","ICMS a Recuperar - Longo Prazo","asset_non_current",""
"account_template_102010803","1.02.01.08.03","PIS a Recuperar - Crédito Básico - Longo Prazo","asset_non_current",""
"account_template_102010804","1.02.01.08.04","PIS a Recuperar - Crédito Presumido - Longo Prazo","asset_non_current",""
"account_template_102010805","1.02.01.08.05","COFINS a Recuperar - Crédito Básico - Longo Prazo","asset_non_current",""
"account_template_102010806","1.02.01.08.06","COFINS a Recuperar - Crédito Presumido - Longo Prazo","asset_non_current",""
"account_template_102010807","1.02.01.08.07","CIDE a Recuperar - Longo Prazo","asset_non_current",""
"account_template_102010840","1.02.01.08.40","Outros Impostos e Contribuições a Recuperar - Longo Prazo","asset_non_current",""
"account_template_102010850","1.02.01.08.50","(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) - Tributos a Recuperar - Longo Prazo","asset_non_current",""
"account_template_102010855","1.02.01.08.55","(-) Perdas por Redução ao Valor Recuperável (Impairment) - Tributos a Recuperar - Longo Prazo","asset_non_current",""
"account_template_102010901","1.02.01.09.01","Alugueis pagos Antecipadamente - Longo Prazo","asset_non_current",""
"account_template_102010902","1.02.01.09.02","Prêmios de Seguros a Apropriar - Longo Prazo","asset_non_current",""
"account_template_102010903","1.02.01.09.03","Encargos Financeiros a Apropriar –Longo Prazo","asset_non_current",""
"account_template_102010909","1.02.01.09.09","Outros Custos e Despesas Pagos Antecipadamente - Longo Prazo","asset_non_current",""
"account_template_102011001","1.02.01.10.01","Ativo Biológico Consumível - Origem Animal – Pelo Valor Justo - Longo Prazo","asset_non_current",""
"account_template_102011002","1.02.01.10.02","Ativo Biológico Consumível - Origem Vegetal – Pelo Valor Justo - Longo Prazo","asset_non_current",""
"account_template_102011010","1.02.01.10.10","Ativo Biológico Consumível - Origem Animal - Pelo Custo - Longo Prazo","asset_non_current",""
"account_template_102011011","1.02.01.10.11","Ativo Biológico Consumível - Origem Vegetal - Pelo Custo - Longo Prazo","asset_non_current",""
"account_template_102011055","1.02.01.10.55","( - ) Perdas por Redução ao Valor Recuperável (Impairment) - Ativos Biológicos Consumível – Longo Prazo","asset_non_current",""
"account_template_102011070","1.02.01.10.70","Subconta - Ajuste a Valor Justo (AVJ) – Ativos Biológicos - Longo Prazo","asset_non_current",""
"account_template_102011075","1.02.01.10.75","Subconta – Ajuste a Valor Presente (AVP) - Ativos Biológicos - Longo Prazo","asset_non_current",""
"account_template_102011090","1.02.01.10.90","Subconta – Adoção Inicial – Ativo Biológico – Longo Prazo","asset_non_current",""
"account_template_102011501","1.02.01.15.01","Outros Créditos - Longo Prazo","asset_non_current",""
"account_template_102011560","1.02.01.15.60","CPC 47 - Atvos de Contrato - Longo Prazo","asset_non_current",""
"account_template_102020101","1.02.02.01.01","Participações Permanentes em Controladas - no País","asset_non_current",""
"account_template_102020104","1.02.02.01.04","Participações Permanentes em Coligadas - no País","asset_non_current",""
"account_template_102020105","1.02.02.01.05","Participações Permanentes em Joint Ventures e Sociedades de Propósito Específico (SPE) - no País","asset_non_current",""
"account_template_102020106","1.02.02.01.06","Participações Permanentes em Outras Sociedades do Mesmo Grupo ou Controle Comum - Avaliadas pelo Método de Equivalência Patrimonial (MEP) - no País","asset_non_current",""
"account_template_102020107","1.02.02.01.07","Participações em Sociedades em Conta de Participação (SCP) - Sócio Ostensivo - Avaliadas pelo Método de Equivalência Patrimonial (MEP) - no País","asset_non_current",""
"account_template_102020108","1.02.02.01.08","Participações em Sociedades em Conta de Participação (SCP) - Sócio Participante - no País","asset_non_current",""
"account_template_102020110","1.02.02.01.10","Goodwill em Investimentos - no País","asset_non_current",""
"account_template_102020111","1.02.02.01.11","Mais Valia em Investimentos - no País","asset_non_current",""
"account_template_102020112","1.02.02.01.12","(-) Menos Valia em Investimentos - no País","asset_non_current",""
"account_template_102020120","1.02.02.01.20","Ágios em Investimentos Gerados até 31/12/2009 - no País","asset_non_current",""
"account_template_102020121","1.02.02.01.21","(-) Deságios em Investimentos Gerados até 31/12/2009 - no País","asset_non_current",""
"account_template_102020140","1.02.02.01.40","(-) Lucros a Apropriar em Vendas com Controladas -no País","asset_non_current",""
"account_template_102020141","1.02.02.01.41","(-) Lucros a Apropriar em Vendas com Coligadas -no País","asset_non_current",""
"account_template_102020142","1.02.02.01.42","(-) Lucros a Apropriar em Vendas com Joint Ventures -no País","asset_non_current",""
